ID,Name,Designator,Footprint,Quantity,Price,jumlah total,kekurangan barang,jumlah total kekurangan
1,100n,"C6,C7,C8,C9,C11,C12,C13,C18,C19",KAPASITOR KERAMIK OPY,9,600,5400,9,5400
2,ZX-IDC2.54-2-8PWZ COPY,U25,SOCKET,1,4000,4000,1,4000
,,,CABLE,1,5000,5000,1,5000
,,,PIN HEADER 8x2 ,1,2000,2000,1,2000
3,LM324,"U1,U2,U3,U4",LM324,4,2000,8000,2,4000
4,L293D,U5,L293D,1,3500,3500,1,3500
5,DIP SWITCH 3,U9,DIP_SWITCH_3SWITCHES,1,1500,1500,1,1500
6,C0_in_out,"U10,U28",PINHEADER1X2,2,6000,12000,1,6000
7,stm32f103c8t6,U6,STM32F103C8T6,1,28000,28000,1,28000
8,TRIMPOT,"U7,U8,U11,U12,U13,U14,U15,U16,U18,U19,U20,U21,U22,U23",RM-065,14,1000,14000,14,14000
9,68u induktor,L1,INDUCTOR-1206,1,2220,2220,1,2220
10,ADS1117,U17,AMS1117,1,6660,6660,1,6660
11,LM2596S-ADJ,U24,TO263-5,1,6000,6000,1,6000
12,PTC_FUSEPTC_FUSE_1812,"1,2",PTC_FUSE_1812,2,800,1600,2,1600
13,220u,C2,CAP-D8.0×H10.5,1,2000,2000,1,2000
14,SS34,U26,SS34 THIEN,1,1455,1455,1,1455
15,16_mux_IC,U27,HP4067,1,9500,9500,1,9500
16,470u,"C10,C1",CAP-D8.0×H10.5,2,2000,4000,2,4000
17,10u,"C14,C17,C20,C3",CAP-D6.3×H5.5,4,4500,18000,4,18000
18,MOTOR1,H1,HDR-F-2.54_1X6,1,126000,126000,,0
19,MOTOR2,H2,HDR-F-2.54_1X6,1,126000,126000,,0
20,22u,C4,CAP-D6.3×H5.5,1,2000,2000,1,2000
21,20pin,"O1, 02",FAMELE HEADER 20PIN,2,2350,4700,2,4700
22,16pin ic socket,U5,IC SOCKET 16PIN,1,800,800,1,800
23,14pin ic socket,"U1,U2,U3,U4",IC SOCKET 14PIN,4,600,2400,4,2400
,,,,,,,,
ID,Name,Designator,Footprint,Quantity,,,,
1,R1206,"R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R30",[250310] 1206 SMD RESISTOR,14,400,5600,14,5600
2,R0805,"R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14",RESISTOR_C0805,14,400,5600,14,5600
3,ZX-IDC2.54-2-8PWZ COPY,U25,SOCKET,1,4000,4000,1,4000
,,,CABLE,1,5000,5000,1,5000
,,,PIN HEADER 8x2 ,1,2000,2000,1,2000
6,pd-1,"PV1,PV2,PV3,PV4,PV5,PV6,PV7,PV8,PV9,PV10,PV11,PV12,PV13,PV14",PHOTODIODE_3MM_RADIAL,14,450,6300,14,6300
7,LED 5MM,"D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13,D14",LED-TH_LED-DP2-2LED-AMCC,14,500,7000,14,7000
,,,,,,,,
,,,,,,,,
ID,Name,Designator,Footprint,Quantity,,,,
1,akrilik,,,1,17000,17000,1,17000
2,bracket holder,,CUSTOM WITH JGA25-370,2,15652,31304,2,31304
3,baut m2x30mm,,,6,500,3000,6,3000
4,baut m2x8mm,,,4,275,1100,4,1100
5,baut m2x6mm,,,8,275,2200,8,2200
6,mur m2,,,18,80,1440,18,1440
7,ban,,CUSTOM,2,17000,34000,2,34000
8,velg,,CUSTOM,2,26000,52000,2,52000
9,roda gila,,3Pi SMART CAR,1,11900,11900,1,11900
10,batre 2200mAh,,"CNHL BLACK SERIES 2200mAh 3S 11,1v 40A XT60",2,211000,422000,1,211000
11,socket batre,,XT60H FEMALE,1,12000,12000,1,12000
12,pcb layout depan (sensor),,JLCPCB,1,300000,300000,1,300000
13,pcb layout belakang,,JLCPCB,1,370000,370000,1,370000
14,mata bor,,"ukuran 2,3,4",3,14000,42000,,0
15,mata gergaji besi,,,1,10000,10000,,0
16,mata gergaji triplex,,,1,12000,12000,,0
17,flux,,RMA-223 FLUX BGA,1,14550,14550,,0
18,pasta timah,,BGA 15g 183'c,2,34920,69840,,0
19,solder,,REAIM Stasiun Solder,1,221240,221240,,0
20,charger batre,,ISDT URUAV PD60 6A,1,266500,266500,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,TOTAL harga semua,,2326309,TOTAL pembelian,1217179
,,,,,,,,37098
,,,,,,,,
,,,,,,,,
,,,,,jumlah total harga Pembelian,,1217179,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,1254277,Agraini
,,,,,,,931277,nurhikmah
